prepared_predicted,prediction_level,per_month,Naics_orig,State_orig,excess_low_lbs_orig,excess_high_lbs_orig,Name,Naics,Address,City,County,State,zip
13922,In-Range,1160,Full-Service Restaurants,KS,9765,23744,Beezar Bbq,Full-Service Restaurants,9850 W Snokomo Rd,Hutchinson,Reno,KS,67502
13922,In-Range,1160,Full-Service Restaurants,KS,45988,118720,Beijing Bistro,Full-Service Restaurants,1905 W Central Ave,El Dorado,Butler,KS,67042
13922,In-Range,1160,Full-Service Restaurants,KS,22293,40704,Bella Ciao Inc,Full-Service Restaurants,8805 W 131st Pl,Shawnee Mission,Johnson,KS,66213
13922,In-Range,1160,Full-Service Restaurants,KS,18882,33920,Bella Cuisine LLC,Full-Service Restaurants,10540 Cleveland Ave,Kansas City,Wyandotte,KS,66109
13922,In-Range,1160,Full-Service Restaurants,KS,15714,37312,Bella Italia,Full-Service Restaurants,312 W Wyatt Earp Blvd,Dodge City,Ford,KS,67801
13922,In-Range,1160,Full-Service Restaurants,KS,4061,27136,Bella Luna Cafe,Full-Service Restaurants,2441 N Maize Rd Ste 2511,Wichita,Sedgwick,KS,67205
13922,High,1160,Full-Service Restaurants,KS,2879,2879,Bella Vitta Bistro,Full-Service Restaurants,120 N West St,Wichita,Sedgwick,KS,67203
13922,In-Range,1160,Full-Service Restaurants,KS,6992,30528,Bellas Italian Restaurant,Full-Service Restaurants,605 N Washington St,Junction City,Geary,KS,66441
13922,In-Range,1160,Full-Service Restaurants,KS,3780,20352,Belly Up Bbq LLC,Full-Service Restaurants,7708 W 101st St,Shawnee Mission,Johnson,KS,66212
13922,In-Range,1160,Full-Service Restaurants,KS,19122,40704,Ben Villar's Mexican Restaurant,Full-Service Restaurants,2623 S Topeka St APT 106,Wichita,Sedgwick,KS,67216
13922,In-Range,1160,Full-Service Restaurants,KS,2879,20352,Benefit Ride & Bbq Inc.,Full-Service Restaurants,7466 SW 150th St,Augusta,Butler,KS,67010
13922,In-Range,1160,Full-Service Restaurants,KS,16277,169600,Benihana,Full-Service Restaurants,11638 Ash St,Leawood,Johnson,KS,66211
60617,In-Range,5051,Limited-Service Restaurants,KS,38244,72000,Benny's Burgers & Shakes LLC,Limited-Service Restaurants,610 N Main St,Cheney,Sedgwick,KS,67025
60617,High,5051,Limited-Service Restaurants,KS,12120,36000,Benny's Grille,Limited-Service Restaurants,524 Massachusetts Ave,Kinsley,Edwards,KS,67547
13922,In-Range,1160,Full-Service Restaurants,KS,94138,94138,Berthelson Inc,Full-Service Restaurants,649 Westport Blvd,Salina,Saline,KS,67401
13922,In-Range,1160,Full-Service Restaurants,KS,3495,20352,Bht Inc,Full-Service Restaurants,5910 Roeland Dr,Roeland Park,Johnson,KS,66205
13922,In-Range,1160,Full-Service Restaurants,KS,22235,50880,Bi Bim Bap LLC,Full-Service Restaurants,702 N 11th St,Manhattan,Riley,KS,66502
13922,In-Range,1160,Full-Service Restaurants,KS,32332,71232,Biemer's Bbq,Full-Service Restaurants,2120 W 9th St,Lawrence,Douglas,KS,66049
13922,In-Range,1160,Full-Service Restaurants,KS,26173,57664,Biemer's Bbq L.C.,Full-Service Restaurants,404 Pasadena Dr,Lawrence,Douglas,KS,66049
13922,In-Range,1160,Full-Service Restaurants,KS,8771,169600,Big Biscuit Prairie Village,Full-Service Restaurants,5400 W 95th St,Prairie Village,Johnson,KS,66207
13922,High,1160,Full-Service Restaurants,KS,1216,3392,Big B'S Bbq LLC,Full-Service Restaurants,103 N Oak St,Lebo,Coffey,KS,66856
13922,In-Range,1160,Full-Service Restaurants,KS,12800,84800,Big Bubbas Bar B Q and Catering,Full-Service Restaurants,151st S Mur Len Rd,Olathe,Johnson,KS,66062
60617,High,5051,Limited-Service Restaurants,KS,15935,30000,Big Chill Ice Cream LLC,Limited-Service Restaurants,104 E 29th St N,Wichita,Sedgwick,KS,67219
13922,In-Range,1160,Full-Service Restaurants,KS,10777,23744,Big Daddy Friend,Full-Service Restaurants,972 E 787th Rd,Lawrence,Douglas,KS,66047
