prepared_predicted,prediction_level,per_month,Naics_orig,State_orig,excess_low_lbs_orig,excess_high_lbs_orig,Name,Naics,Address,City,County,State,zip
60617,In-Range,5051,Limited-Service Restaurants,KS,68247,141000,Ffc Lubbock-1 LLC,Limited-Service Restaurants,621 Westport Blvd Ste A,Salina,Saline,KS,67401
13922,High,1160,Full-Service Restaurants,KS,8370,8370,Fiesta Grande,Full-Service Restaurants,600 E 4th Ave,Hutchinson,Reno,KS,67501
13922,In-Range,1160,Full-Service Restaurants,KS,3872,20352,Fiesta Mexicana Inc.,Full-Service Restaurants,127 N Main St 31,El Dorado,Butler,KS,67042
60617,High,5051,Limited-Service Restaurants,KS,16512,60000,Fil A Chick,Limited-Service Restaurants,1818 N Rock Rd,Derby,Sedgwick,KS,67037
60617,High,5051,Limited-Service Restaurants,KS,3167,24000,Fil A Chick,Limited-Service Restaurants,2245 S 9th St,Salina,Saline,KS,67401
2921,In-Range,243,Caterers,KS,11889,27136,Fine As Wine Catering LLC,Caterers,1330 Fogarty Dr,Junction City,Geary,KS,66441
13922,In-Range,1160,Full-Service Restaurants,KS,15059,300000,Firebirds of Overland Park LLC,Full-Service Restaurants,6601 W 135th St,Overland Park,Johnson,KS,66223
13922,In-Range,1160,Full-Service Restaurants,KS,15059,339200,Firebirds of Wichita LLC,Full-Service Restaurants,10096 E 13th St N,Wichita,Sedgwick,KS,67206
60617,High,5051,Limited-Service Restaurants,KS,2879,21000,Firehouse Subs,Limited-Service Restaurants,20829 W 45th Ter,Shawnee,Johnson,KS,66218
13922,In-Range,1160,Full-Service Restaurants,KS,8904,37312,First Taste LLC,Full-Service Restaurants,20561 Seven Sisters Rd,Leavenworth,Leavenworth,KS,66048
13922,In-Range,1160,Full-Service Restaurants,KS,82800,101760,First Watch,Full-Service Restaurants,2800 W 53rd Rd,Kansas City,Wyandotte,KS,66160
13922,In-Range,1160,Full-Service Restaurants,KS,35880,44096,First Watch,Full-Service Restaurants,9102 Metcalf Ave A,Overland Park,Johnson,KS,66212
13922,In-Range,1160,Full-Service Restaurants,KS,42727,78016,First Watch Restaurants,Full-Service Restaurants,14104 Canterbury St,Overland Park,Johnson,KS,66224
13922,In-Range,1160,Full-Service Restaurants,KS,17529,37312,Fish & More LLC,Full-Service Restaurants,2021 S Oliver Ave,Wichita,Sedgwick,KS,67218
13922,In-Range,1160,Full-Service Restaurants,KS,16719,30528,Five G'S By The Sea LLC,Full-Service Restaurants,5524 Golden Bear Dr,Overland Park,Johnson,KS,66223
60617,High,5051,Limited-Service Restaurants,KS,25496,25496,Five Guys Burgers & Fries,Limited-Service Restaurants,1025 E Douglas Ave,Wichita,Sedgwick,KS,67211
60617,High,5051,Limited-Service Restaurants,KS,9653,9653,Five Guys Burgers & Fries,Limited-Service Restaurants,2040 W 31st St Ste B,Lawrence,Douglas,KS,66046
60617,High,5051,Limited-Service Restaurants,KS,2879,21000,Five Guys Burgers and Fries,Limited-Service Restaurants,2929 N Rock Rd Ste 110,Wichita,Sedgwick,KS,67226
60617,High,5051,Limited-Service Restaurants,KS,25496,25496,Five Guys Burgers Fries,Limited-Service Restaurants,2616 N Maize Rd Ste 100,Wichita,Sedgwick,KS,67205
60617,High,5051,Limited-Service Restaurants,KS,16306,33000,Five Pie,Limited-Service Restaurants,623 N Manhattan Ave,Manhattan,Riley,KS,66502
60617,High,5051,Limited-Service Restaurants,KS,6811,6811,Fizz Burgers & Bottles,Limited-Service Restaurants,7718 E 37th St N Ste 100,Wichita,Sedgwick,KS,67226
13922,In-Range,1160,Full-Service Restaurants,KS,19988,44096,Flashbacks,Full-Service Restaurants,630 E 4th St,Tonganoxie,Leavenworth,KS,66086
13922,In-Range,1160,Full-Service Restaurants,KS,11281,50880,Flashbacks Diner Inc.,Full-Service Restaurants,201 E Santa Fe Trail Blvd,Lakin,Kearny,KS,67860
13922,In-Range,1160,Full-Service Restaurants,KS,15140,33920,Flna,Full-Service Restaurants,215 SW Topeka Blvd,Topeka,Shawnee,KS,66603
13922,In-Range,1160,Full-Service Restaurants,KS,3479,23744,Fonda Mexicana Restaurant,Full-Service Restaurants,4747 Parallel Pkwy,Kansas City,Wyandotte,KS,66104
13922,In-Range,1160,Full-Service Restaurants,KS,19320,19320,Food Court 2,Full-Service Restaurants,2210 Trooper Dr,Fort Riley,Geary,KS,66442
2921,In-Range,243,Caterers,KS,8089,8089,Food For Thought Catering LLC,Caterers,3514 Clinton Pkwy,Lawrence,Douglas,KS,66047
13922,In-Range,1160,Full-Service Restaurants,KS,292560,359552,Foodfirst Global Restaurants Inc.,Full-Service Restaurants,5005 W 117th St,Leawood,Johnson,KS,66211
13922,In-Range,1160,Full-Service Restaurants,KS,9046,40704,Foody's LLC,Full-Service Restaurants,18513 W 194th St,Spring Hill,Johnson,KS,66083
13922,In-Range,1160,Full-Service Restaurants,KS,13961,37312,Forasteros Mexican Food,Full-Service Restaurants,201 W 4th Ave,Caney,Montgomery,KS,67333
13922,High,1160,Full-Service Restaurants,KS,10014,13568,Foresco Inc,Full-Service Restaurants,601 E US Hwy 24,Wamego,Pottawatomie,KS,66547
13922,High,1160,Full-Service Restaurants,KS,9335,9335,Fortune Good Chinese,Full-Service Restaurants,10410 W Maple St Ste 110,Wichita,Sedgwick,KS,67209
13922,In-Range,1160,Full-Service Restaurants,KS,22309,47488,Fortune New Good,Full-Service Restaurants,709 N Baltimore Ave,Derby,Sedgwick,KS,67037
13922,In-Range,1160,Full-Service Restaurants,KS,15935,33920,Fortune Restaurant Inc,Full-Service Restaurants,6710 W Kellogg Dr,Wichita,Sedgwick,KS,67209
13922,In-Range,1160,Full-Service Restaurants,KS,9025,40704,Fortune Wok,Full-Service Restaurants,14537 Metcalf Ave,Overland Park,Johnson,KS,66223
60617,In-Range,5051,Limited-Service Restaurants,KS,24940,178200,Foshee-Mc Donald's Management,Limited-Service Restaurants,1700 S Hillside St,Wichita,Sedgwick,KS,67211
13922,In-Range,1160,Full-Service Restaurants,KS,2879,23744,Four Star Bbq Inc.,Full-Service Restaurants,1952 S Gold St,Wichita,Sedgwick,KS,67213
60617,High,5051,Limited-Service Restaurants,KS,27090,51000,Fox & Hound II Inc,Limited-Service Restaurants,1551 N Waterfront Pkwy # 310,Wichita,Sedgwick,KS,67206
60617,High,5051,Limited-Service Restaurants,KS,27090,51000,Fox & Hound of Indiana Inc,Limited-Service Restaurants,1551 N Waterfront Pkwy # 310,Wichita,Sedgwick,KS,67206
60617,High,5051,Limited-Service Restaurants,KS,27090,51000,Fox & Hound of Kansas Inc,Limited-Service Restaurants,1551 N Waterfront Pkwy # 310,Wichita,Sedgwick,KS,67206
13922,In-Range,1160,Full-Service Restaurants,KS,16719,30528,Franks,Full-Service Restaurants,5428 W 86th Ter,Prairie Village,Johnson,KS,66207
13922,High,1160,Full-Service Restaurants,KS,2879,2879,Frank's Chicken & Waffles,Full-Service Restaurants,2110 N 18th St,Kansas City,Wyandotte,KS,66104
60617,High,5051,Limited-Service Restaurants,KS,34181,34181,Franks Franks,Limited-Service Restaurants,6914 Warren Rd,Fort Riley,Geary,KS,66442
60617,High,5051,Limited-Service Restaurants,KS,3650,21000,Freaky Fast Sub Dudes LLC,Limited-Service Restaurants,7907 W 137th St,Overland Park,Johnson,KS,66223
13922,In-Range,1160,Full-Service Restaurants,KS,24546,24546,Fred Kropf,Full-Service Restaurants,250 N 18th St,Kansas City,Wyandotte,KS,66102
13922,In-Range,1160,Full-Service Restaurants,KS,19879,19879,Fred Mark Inc Old 56 Fam,Full-Service Restaurants,912 S Chestnut St,Olathe,Johnson,KS,66061
60617,High,5051,Limited-Service Restaurants,KS,44585,44585,Freddy TS Bar Grill,Limited-Service Restaurants,7920 W 151st St,Overland Park,Johnson,KS,66223
60617,High,5051,Limited-Service Restaurants,KS,2245,9000,Freddy's,Limited-Service Restaurants,802 E Chestnut St,Junction City,Geary,KS,66441
60617,High,5051,Limited-Service Restaurants,KS,26172,26172,Freddys Frozen Custard,Limited-Service Restaurants,1400 W 6th Ave,Emporia,Lyon,KS,66801
60617,In-Range,5051,Limited-Service Restaurants,KS,21674,90000,Freddys Frozen Custard,Limited-Service Restaurants,229 McCall Rd,Manhattan,Riley,KS,66502
60617,In-Range,5051,Limited-Service Restaurants,KS,145159,234000,Freddys Frozen Custard,Limited-Service Restaurants,3445 N Webb Rd,Wichita,Sedgwick,KS,67226
60617,High,5051,Limited-Service Restaurants,KS,5173,21000,Freddy's Frozen Custard,Limited-Service Restaurants,10690 Roe Ave,Overland Park,Johnson,KS,66207
60617,In-Range,5051,Limited-Service Restaurants,KS,26001,150000,Freddy's Frozen Custard,Limited-Service Restaurants,11525 E 13th St N,Wichita,Sedgwick,KS,67206
60617,High,5051,Limited-Service Restaurants,KS,8375,30000,Freddy's Frozen Custard,Limited-Service Restaurants,11775 S Blackbob Rd,Olathe,Johnson,KS,66062
60617,High,5051,Limited-Service Restaurants,KS,40168,40168,Freddy's Frozen Custard,Limited-Service Restaurants,1314 S Broadway St,Pittsburg,Crawford,KS,66762
60617,In-Range,5051,Limited-Service Restaurants,KS,92278,111000,Freddy's Frozen Custard,Limited-Service Restaurants,2100 N Rock Rd,Derby,Sedgwick,KS,67037
60617,High,5051,Limited-Service Restaurants,KS,11499,27136,Freddy's Frozen Custard,Limited-Service Restaurants,237 N Main St,Lansing,Leavenworth,KS,66043
60617,High,5051,Limited-Service Restaurants,KS,7051,15000,Freddy's Frozen Custard,Limited-Service Restaurants,2420 S 9th St,Salina,Saline,KS,67401
60617,In-Range,5051,Limited-Service Restaurants,KS,45378,90000,Freddy's Frozen Custard,Limited-Service Restaurants,3112 E Kansas Ave,Garden City,Finney,KS,67846
60617,High,5051,Limited-Service Restaurants,KS,3538,9000,Freddy's Frozen Custard,Limited-Service Restaurants,3505 Vine St,Hays,Ellis,KS,67601
60617,In-Range,5051,Limited-Service Restaurants,KS,134676,162000,Freddy's Frozen Custard & Steakburgers,Limited-Service Restaurants,1980 N Kansas Ave,Liberal,Seward,KS,67901
60617,High,5051,Limited-Service Restaurants,KS,27090,51000,Freddys Frozen Custard and Steakburgers,Limited-Service Restaurants,3459 S 143rd St E,Wichita,Sedgwick,KS,67232
60617,High,5051,Limited-Service Restaurants,KS,16512,60000,Freddy's Land LLC,Limited-Service Restaurants,260 N Rock Rd Ste 200,Wichita,Sedgwick,KS,67206
60617,High,5051,Limited-Service Restaurants,KS,11407,48000,Freddy's Pizza Palace,Limited-Service Restaurants,817 Hillcrest Dr,Seneca,Nemaha,KS,66538
60617,High,5051,Limited-Service Restaurants,KS,4717,4717,Fredonia Food Company,Limited-Service Restaurants,1938 E Washington St,Fredonia,Wilson,KS,66736
60617,High,5051,Limited-Service Restaurants,KS,2014,9000,Free State Grills,Limited-Service Restaurants,19659 223rd St,Tonganoxie,Leavenworth,KS,66086
13922,In-Range,1160,Full-Service Restaurants,KS,14862,27136,Freebirds World Burrito,Full-Service Restaurants,6029 Metcalf Ave,Shawnee Mission,Johnson,KS,66202
60617,High,5051,Limited-Service Restaurants,KS,20435,33000,Freezing Moo,Limited-Service Restaurants,20140 W 153rd St,Olathe,Johnson,KS,66062
60617,High,5051,Limited-Service Restaurants,KS,3167,21000,Freezing Moo,Limited-Service Restaurants,4651 W 6th St,Lawrence,Douglas,KS,66049
60617,High,5051,Limited-Service Restaurants,KS,18577,30000,Freezing Moo,Limited-Service Restaurants,8300 Rosewood Dr,Prairie Village,Johnson,KS,66207
60617,High,5051,Limited-Service Restaurants,KS,18577,30000,Freezing Moo Rolling Ice Cream LLC,Limited-Service Restaurants,14302 S Darnell St,Olathe,Johnson,KS,66062
60617,High,5051,Limited-Service Restaurants,KS,18577,30000,Freezing Moo SL LLC,Limited-Service Restaurants,4400 College Blvd Ste 202,Leawood,Johnson,KS,66211
13922,High,1160,Full-Service Restaurants,KS,2879,2879,French Quarter Cafe LLC,Full-Service Restaurants,4525 Cleveland Ave,Kansas City,Wyandotte,KS,66104
13922,In-Range,1160,Full-Service Restaurants,KS,6043,23744,Frenzel S Bbq Catering,Full-Service Restaurants,2730 Montrose Cir,Eudora,Douglas,KS,66025
2921,In-Range,243,Caterers,KS,5390,27136,Fresh and Tasty Catering LLC,Caterers,7521 W 97th St,Overland Park,Johnson,KS,66212
13922,In-Range,1160,Full-Service Restaurants,KS,13613,30528,Fresh Bite Cafe,Full-Service Restaurants,316 E Hillside Ave,Garden City,Finney,KS,67846
60617,High,5051,Limited-Service Restaurants,KS,8580,21000,Freshway Ampride Deli,Limited-Service Restaurants,443 Martin Ave,Stafford,Stafford,KS,67578
13922,High,1160,Full-Service Restaurants,KS,2310,6784,Fried Rice King Chinese Restaurant,Full-Service Restaurants,748 Washington Blvd,Kansas City,Wyandotte,KS,66101
13922,In-Range,1160,Full-Service Restaurants,KS,2879,23744,Friendly Fibers,Full-Service Restaurants,11934 Mackey St,Overland Park,Johnson,KS,66213
13922,In-Range,1160,Full-Service Restaurants,KS,5079,23744,Friendly Frank's Inc.,Full-Service Restaurants,5336 W 95th St,Prairie Village,Johnson,KS,66207
13922,In-Range,1160,Full-Service Restaurants,KS,14608,33920,Friends & Neighbors Eatery,Full-Service Restaurants,104 Kansas Ave,Dresden,Decatur,KS,67635
13922,In-Range,1160,Full-Service Restaurants,KS,39012,71232,Fritzs Railroad Restaurant,Full-Service Restaurants,13803 W 63rd St,Shawnee,Johnson,KS,66216
13922,In-Range,1160,Full-Service Restaurants,KS,39012,71232,Fritzs Union Station Restaura,Full-Service Restaurants,13803 W 63rd St,Shawnee,Johnson,KS,66216
13922,In-Range,1160,Full-Service Restaurants,KS,16560,20352,Froggar S Bbq,Full-Service Restaurants,620 N Rock Rd Ste 230,Derby,Sedgwick,KS,67037
13922,In-Range,1160,Full-Service Restaurants,KS,2879,23744,Froggys Restaurant LLC,Full-Service Restaurants,1204 N Pawnee Dr,Saint Marys,Pottawatomie,KS,66536
2921,In-Range,243,Caterers,KS,2336,16960,Front Door Catering,Caterers,723 Ne Freeman Ave,Topeka,Shawnee,KS,66616
13922,In-Range,1160,Full-Service Restaurants,KS,3294,20352,Fronteras Mexican Restaurant and Cantina LLC 4,Full-Service Restaurants,175 N Moonlight Rd,Gardner,Johnson,KS,66030
60617,High,5051,Limited-Service Restaurants,KS,9003,24000,Froyo Junction,Limited-Service Restaurants,907 W 6th St,Junction City,Geary,KS,66441
13922,In-Range,1160,Full-Service Restaurants,KS,3167,27136,Fuddruckers,Full-Service Restaurants,1705 Village West Pkwy,Kansas City,Wyandotte,KS,66111
60617,High,5051,Limited-Service Restaurants,KS,27434,33000,Fugate Enterprises,Limited-Service Restaurants,1403 W 8th St,Wellington,Sumner,KS,67152
60617,In-Range,5051,Limited-Service Restaurants,KS,62350,75000,Fugate Leasing Inc.,Limited-Service Restaurants,729 N Main St,El Dorado,Butler,KS,67042
13922,In-Range,1160,Full-Service Restaurants,KS,11297,54272,Fuzzys Taco Shop,Full-Service Restaurants,608 N 12th St,Manhattan,Riley,KS,66502
13922,In-Range,1160,Full-Service Restaurants,KS,3167,23744,Fuzzys Taco Shop,Full-Service Restaurants,1115 Massachusetts St,Lawrence,Douglas,KS,66044
2921,In-Range,243,Caterers,KS,3167,23744,Gabby S Peruvian Restaurant Catering,Caterers,1002 S Seneca St,Wichita,Sedgwick,KS,67213
60617,High,5051,Limited-Service Restaurants,KS,20054,20054,Gambino S Pizza,Limited-Service Restaurants,2232 10th St,Great Bend,Barton,KS,67530
60617,High,5051,Limited-Service Restaurants,KS,4554,20352,Gambino S Pizza,Limited-Service Restaurants,311 Main St,Towanda,Butler,KS,67144
60617,High,5051,Limited-Service Restaurants,KS,16500,33000,Gambinos of Winfield,Limited-Service Restaurants,1400 Main St Ste A,Winfield,Cowley,KS,67156
60617,High,5051,Limited-Service Restaurants,KS,4215,27000,Gambinos Pizza,Limited-Service Restaurants,626 N Andover Rd,Andover,Butler,KS,67002
60617,High,5051,Limited-Service Restaurants,KS,3136,21000,Gambino's Pizza,Limited-Service Restaurants,1520 S Webb Rd Ste 120,Wichita,Sedgwick,KS,67207
60617,High,5051,Limited-Service Restaurants,KS,7617,33000,Gambino's Pizza,Limited-Service Restaurants,310 S Main St,South Hutchinson,Reno,KS,67505
60617,High,5051,Limited-Service Restaurants,KS,8667,44096,Gambino's Pizza,Limited-Service Restaurants,317 W 7th St,Washington,Washington,KS,66968
60617,High,5051,Limited-Service Restaurants,KS,18480,18480,Gambino's Pizza,Limited-Service Restaurants,8725 Bourgade St,Lenexa,Johnson,KS,66219
13922,High,1160,Full-Service Restaurants,KS,5190,5190,Garcia LLC,Full-Service Restaurants,115 W Murdock St,Andover,Butler,KS,67002
13922,In-Range,1160,Full-Service Restaurants,KS,2130,45000,Garden Fresh Restaura,Full-Service Restaurants,1938 N Woodlawn St,Wichita,Sedgwick,KS,67208
13922,In-Range,1160,Full-Service Restaurants,KS,42727,42727,Garozzo's Inc,Full-Service Restaurants,13505 S Mur Len Rd # 101,Olathe,Johnson,KS,66062
60617,In-Range,5051,Limited-Service Restaurants,KS,31666,120000,Gaslight Grill,Limited-Service Restaurants,5020 W 137th St,Leawood,Johnson,KS,66224
13922,In-Range,1160,Full-Service Restaurants,KS,173880,213696,Gates & Sons Barbecue of Kansas Inc.,Full-Service Restaurants,2001 W 103rd Stateline,Leawood,Johnson,KS,66206
13922,In-Range,1160,Full-Service Restaurants,KS,27866,50880,Gates On State Line,Full-Service Restaurants,2001 W 103rd Ter,Leawood,Johnson,KS,66206
13922,In-Range,1160,Full-Service Restaurants,KS,16277,169600,Gb Kansas LLC,Full-Service Restaurants,11652 Ash St Lot 10,Leawood,Johnson,KS,66211
2921,In-Range,243,Caterers,KS,3579,23744,Geaux Catering,Caterers,14138 W 141st Pl,Olathe,Johnson,KS,66062
60617,High,5051,Limited-Service Restaurants,KS,4545,18000,Gena Hunter,Limited-Service Restaurants,105 E 14th St,Larned,Pawnee,KS,67550
60617,In-Range,5051,Limited-Service Restaurants,KS,62350,75000,Genesh Inc.,Limited-Service Restaurants,111 E 47th St S,Wichita,Sedgwick,KS,67216
60617,In-Range,5051,Limited-Service Restaurants,KS,67338,81000,Genesh Inc.,Limited-Service Restaurants,13680 Metcalf Ave,Overland Park,Johnson,KS,66223
60617,In-Range,5051,Limited-Service Restaurants,KS,67338,81000,Genesh Inc.,Limited-Service Restaurants,1506 N Nelson Dr,Derby,Sedgwick,KS,67037
60617,In-Range,5051,Limited-Service Restaurants,KS,67338,81000,Genesh Inc.,Limited-Service Restaurants,200 S Rock Rd,Wichita,Sedgwick,KS,67207
60617,High,5051,Limited-Service Restaurants,KS,44892,54000,Genesh Inc.,Limited-Service Restaurants,201 E 4th Ave,Hutchinson,Reno,KS,67501
60617,In-Range,5051,Limited-Service Restaurants,KS,67338,81000,Genesh Inc.,Limited-Service Restaurants,2743 W Central Ave,El Dorado,Butler,KS,67042
60617,In-Range,5051,Limited-Service Restaurants,KS,67338,81000,Genesh Inc.,Limited-Service Restaurants,302 Hedge Ln,Paola,Miami,KS,66071
60617,High,5051,Limited-Service Restaurants,KS,44892,54000,Genesh Inc.,Limited-Service Restaurants,3929 10th St,Great Bend,Barton,KS,67530
60617,High,5051,Limited-Service Restaurants,KS,2494,3000,Genesh Inc.,Limited-Service Restaurants,4220 E Harry St,Wichita,Sedgwick,KS,67218
60617,In-Range,5051,Limited-Service Restaurants,KS,67338,81000,Genesh Inc.,Limited-Service Restaurants,528 N Oliver Ave,Wichita,Sedgwick,KS,67208
60617,High,5051,Limited-Service Restaurants,KS,29928,36000,Genesh Inc.,Limited-Service Restaurants,740 N Tyler Rd,Wichita,Sedgwick,KS,67212
13922,In-Range,1160,Full-Service Restaurants,KS,4542,30528,Genova Italiana Restaurant,Full-Service Restaurants,1021 Washington Rd # 300,Newton,Harvey,KS,67114
13922,In-Range,1160,Full-Service Restaurants,KS,30792,30792,Genovese Italian Restaurant,Full-Service Restaurants,941 Massachusetts St,Lawrence,Douglas,KS,66044
60617,In-Range,5051,Limited-Service Restaurants,KS,130040,130040,George Barnes,Limited-Service Restaurants,8276 Mission Rd,Shawnee Mission,Johnson,KS,66208
60617,High,5051,Limited-Service Restaurants,KS,10076,10076,George R Emery,Limited-Service Restaurants,2053 SW Western Ave,Topeka,Shawnee,KS,66604
13922,In-Range,1160,Full-Service Restaurants,KS,6987,30528,Georges French Bistro,Full-Service Restaurants,4618 E Central Ave Ste 50,Wichita,Sedgwick,KS,67208
13922,In-Range,1160,Full-Service Restaurants,KS,66240,81408,Georgie Porgies Cafe LLC,Full-Service Restaurants,14856 Metcalf Ave,Overland Park,Johnson,KS,66223
60617,High,5051,Limited-Service Restaurants,KS,32422,39000,Geos Pizza Pasta and Deli,Limited-Service Restaurants,9220 Metcalf Ave,Overland Park,Johnson,KS,66212
60617,In-Range,5051,Limited-Service Restaurants,KS,66000,180000,Gerig Inc,Limited-Service Restaurants,7530 State Ave,Kansas City,Wyandotte,KS,66112
13922,High,1160,Full-Service Restaurants,KS,11007,11007,Get Sauced LLC,Full-Service Restaurants,802 N Ridge Rd,Wichita,Sedgwick,KS,67212
13922,In-Range,1160,Full-Service Restaurants,KS,16994,30528,Gg's Barbacoa Cafe Inc,Full-Service Restaurants,210 S 7th St,Kansas City,Wyandotte,KS,66101
13922,High,1160,Full-Service Restaurants,KS,2879,2879,Gigi's Cafe LLC,Full-Service Restaurants,814 Washington St,Ellis,Ellis,KS,67637
60617,High,5051,Limited-Service Restaurants,KS,17458,21000,Gilbertson Restaurants L.L.C.,Limited-Service Restaurants,10720 Parallel Pkwy,Kansas City,Wyandotte,KS,66109
13922,In-Range,1160,Full-Service Restaurants,KS,15935,33920,Ginger Asian Cuisine LLC,Full-Service Restaurants,19894 W Kellogg Dr Unit D,Goddard,Sedgwick,KS,67052
13922,In-Range,1160,Full-Service Restaurants,KS,5167,27136,Ginger Sue's,Full-Service Restaurants,14178 W 119th St,Olathe,Johnson,KS,66062
13922,In-Range,1160,Full-Service Restaurants,KS,12748,27136,Ginger Sushi LLC,Full-Service Restaurants,1420 W Lydia St,Wichita,Sedgwick,KS,67213
60617,High,5051,Limited-Service Restaurants,KS,37410,45000,Girn Consolidated LLC,Limited-Service Restaurants,7521 W 119th St,Overland Park,Johnson,KS,66213
60617,High,5051,Limited-Service Restaurants,KS,5591,24000,Glaze Marketing L.L.C.,Limited-Service Restaurants,14524 Horton St,Overland Park,Johnson,KS,66223
60617,High,5051,Limited-Service Restaurants,KS,11196,45000,Glory Days Pizza,Limited-Service Restaurants,1033 SW Gage Blvd Ste 100,Topeka,Shawnee,KS,66604
60617,High,5051,Limited-Service Restaurants,KS,2879,21000,Glory Days Pizza Hunters Ridge Inc.,Limited-Service Restaurants,214 SW 6th Ave,Topeka,Shawnee,KS,66603
60617,High,5051,Limited-Service Restaurants,KS,24225,51000,Glory Days Pizza Lake Shawnee,Limited-Service Restaurants,3310 SE 29th St,Topeka,Shawnee,KS,66605
60617,In-Range,5051,Limited-Service Restaurants,KS,72326,87000,Gmrg Acq 1 LLC,Limited-Service Restaurants,125 Harvest Dr,Louisburg,Miami,KS,66053
60617,In-Range,5051,Limited-Service Restaurants,KS,72326,87000,Gmrg Acq 1 LLC,Limited-Service Restaurants,22390 S Harrison St,Spring Hill,Johnson,KS,66083
13938,In-Range,1162,Full-Service Restaurants,KS,358800,440960,Gmri Inc.,Full-Service Restaurants,15090 W 119th St,Olathe,Johnson,KS,66062
13922,In-Range,1160,Full-Service Restaurants,KS,16512,67840,Gmri Inc.,Full-Service Restaurants,1718 N Rock Rd,Derby,Sedgwick,KS,67037
60617,High,5051,Limited-Service Restaurants,KS,21197,42000,Gnf Inc.,Limited-Service Restaurants,2418 SW Queens Way,Topeka,Shawnee,KS,66614
60617,In-Range,5051,Limited-Service Restaurants,KS,32422,309303,Go Chicken Go Inc.,Limited-Service Restaurants,3702 Merriam Dr,Shawnee,Johnson,KS,66203
60617,High,5051,Limited-Service Restaurants,KS,15935,30000,Goddard Dairy Queen,Limited-Service Restaurants,3820 N Maize Rd,Maize,Sedgwick,KS,67101
60617,High,5051,Limited-Service Restaurants,KS,14277,30000,Godfather's Pizza,Limited-Service Restaurants,1720 N Summit St,Arkansas City,Cowley,KS,67005
60617,In-Range,5051,Limited-Service Restaurants,KS,76980,76980,Godfather's Pizza Inc,Limited-Service Restaurants,721 Wakarusa Dr Ste 104,Lawrence,Douglas,KS,66049
13922,In-Range,1160,Full-Service Restaurants,KS,6703,23744,Golden Asian Buffet Inc,Full-Service Restaurants,2942 W 3rd Ave,El Dorado,Butler,KS,67042
13922,High,1160,Full-Service Restaurants,KS,1965,3392,Golden Corral,Full-Service Restaurants,616 S Ridge Rd,Wichita,Sedgwick,KS,67209
13922,In-Range,1160,Full-Service Restaurants,KS,20132,200128,Golden Corral,Full-Service Restaurants,10147 Flint St,Overland Park,Johnson,KS,66214
13922,In-Range,1160,Full-Service Restaurants,KS,69000,84800,Golden Corral Corporation,Full-Service Restaurants,2950 Cr 2600,Independence,Montgomery,KS,67301
13922,In-Range,1160,Full-Service Restaurants,KS,193200,237440,Golden Corral Corporation,Full-Service Restaurants,13440 S Blackbob Rd,Olathe,Johnson,KS,66062
13922,In-Range,1160,Full-Service Restaurants,KS,21197,47488,Golden Dragon,Full-Service Restaurants,1101 S Kansas Ave,Topeka,Shawnee,KS,66612
13922,In-Range,1160,Full-Service Restaurants,KS,57960,71232,Golden Garden Restaurant,Full-Service Restaurants,544 N Andover Rd,Andover,Butler,KS,67002
13922,In-Range,1160,Full-Service Restaurants,KS,22080,27136,Golden Gate Private Equity Inc.,Full-Service Restaurants,10700 Parallel Pkwy,Kansas City,Wyandotte,KS,66109
13922,In-Range,1160,Full-Service Restaurants,KS,31514,74624,Golden Griddle,Full-Service Restaurants,230 W 9th St,Hays,Ellis,KS,67601
13922,In-Range,1160,Full-Service Restaurants,KS,3022,23744,Golden Taipei,Full-Service Restaurants,310 N Franklin Ave,Colby,Thomas,KS,67701
60617,High,5051,Limited-Service Restaurants,KS,26008,42000,Gomez Concessions Inc.,Limited-Service Restaurants,21301 W 96th Ter,Lenexa,Johnson,KS,66220
13922,In-Range,1160,Full-Service Restaurants,KS,15140,33920,Gonzalez Family Restaurant Inc,Full-Service Restaurants,4111 SW Gage Center Dr,Topeka,Shawnee,KS,66604
13922,In-Range,1160,Full-Service Restaurants,KS,6769,27136,Good Eats Kc LLC,Full-Service Restaurants,21311 W 96th Ter,Lenexa,Johnson,KS,66220
60617,High,5051,Limited-Service Restaurants,KS,20654,20654,Good Grounds - Coffee & Bistro,Limited-Service Restaurants,2402 Commerce Rd,Goodland,Sherman,KS,67735
60617,High,5051,Limited-Service Restaurants,KS,2879,21000,Goodcents Deli Fresh Subs.,Limited-Service Restaurants,2233 Louisiana St Ste J,Lawrence,Douglas,KS,66046
60617,High,5051,Limited-Service Restaurants,KS,6614,30000,Goodcents Deli Fresh Subs.,Limited-Service Restaurants,8808 Santa Fe Dr,Overland Park,Johnson,KS,66212
60617,High,5051,Limited-Service Restaurants,KS,7556,7556,Goodcents Kansas City,Limited-Service Restaurants,4530 W 107th St,Overland Park,Johnson,KS,66207
13922,In-Range,1160,Full-Service Restaurants,KS,270480,332416,Gorditas Durango Mexican and American Grill,Full-Service Restaurants,527 W 13th St N,Wichita,Sedgwick,KS,67203
13922,In-Range,1160,Full-Service Restaurants,KS,15935,33920,Gorditas Express,Full-Service Restaurants,1602 E Harry St,Wichita,Sedgwick,KS,67211
13922,In-Range,1160,Full-Service Restaurants,KS,18672,44096,Gorditas To Go,Full-Service Restaurants,701 S Kansas Ave,Liberal,Seward,KS,67901
13922,In-Range,1160,Full-Service Restaurants,KS,19271,40704,Gordos,Full-Service Restaurants,1116 Moro St,Manhattan,Riley,KS,66502
