State,Excess_Food_Low_Tons,Excess_Food_High_Tons,avg_excess_food,Tons_Beverages_Don,lbs_bev_don,Tons_Bread_Don,lbs_bread_don,Tons_Dairy_Eggs_Don,lbs_dairy_eggs,Tons_Dry_Don,lbs_dry_don,Tons_Frozen_Don,lbs_frozen_don,Tons_Meat_Don,lbs_meat_don,Tons_Prepared_Don,lbs_prepared_don,Tons_Produce_Don,lbs_produce_don,households_avg_21_23,food_insecurity_percent,very_low_food_security_percent,pop2020,pop2021,pop2022,pop2023,FoodBank_recd_TonYear,lbs_foodbank_recd,foodbanks
NE,"39,921","84,346","62,134","5,094","10,188,000","6,544","13,088,000","8,873","17,746,000","9,772",19544000,"1,870","3,740,000","7,651","15,302,000","6,521","13,042,000","17,562","35,124,000","817,000",12.9,6,"1,963,273","1,964,253","1,968,060","1,978,379","14,198",28396000,3
NH,"32,317","86,507","59,412","6,149","12,298,000","9,156","18,312,000","9,131","18,262,000","9,973",19946000,"1,932","3,864,000","9,037","18,074,000","8,192","16,384,000","23,003","46,006,000","571,000",7.4,3.2,"1,378,702","1,387,494","1,399,003","1,402,054","4,586",9172000,1
NJ,"191,231","427,263","309,247","36,477","72,954,000","28,885","57,770,000","33,544","67,088,000","42,686",85372000,"7,642","15,284,000","43,635","87,270,000","59,931","119,862,000","112,678","225,356,000","3,541,000",9.8,3.2,"9,272,392","9,269,175","9,260,817","9,290,841","38,264",76528000,6
NM,"36,698","74,482","55,590","6,826","13,652,000","7,888","15,776,000","8,454","16,908,000","10,252",20504000,"1,898","3,796,000","9,279","18,558,000","6,445","12,890,000","22,204","44,408,000","870,000",12.9,5,"2,118,488","2,116,950","2,113,476","2,114,371","19,023",38046000,5
NV,"59,343","118,178","88,761","10,645","21,290,000","12,078","24,156,000","12,311","24,622,000","13,311",26622000,"2,759","5,518,000","17,788","35,576,000","12,313","24,626,000","44,015","88,030,000","1,257,000",12.5,4.9,"3,115,840","3,146,632","3,177,421","3,194,176","23,181",46362000,2
NY,"419,913","902,098","661,006","51,985","103,970,000","44,067","88,134,000","50,320","100,640,000","66,563",133126000,"12,096","24,192,000","74,986","149,972,000","111,215","222,430,000","188,046","376,092,000","7,760,000",12.3,4.7,"20,104,710","19,854,526","19,673,200","19,571,216","92,487",184974000,11
OH,"218,789","1,104,088","661,439","36,697","73,394,000","41,373","82,746,000","51,154","102,308,000","57,401",114802000,"12,006","24,012,000","57,053","114,106,000","46,868","93,736,000","133,415","266,830,000","4,951,000",12.8,5.3,"11,798,292","11,765,227","11,759,697","11,785,935","58,928",117856000,15
OK,"66,213","148,763","107,488","10,653","21,306,000","11,209","22,418,000","13,631","27,262,000","18,419",36838000,"3,424","6,848,000","14,511","29,022,000","10,227","20,454,000","26,720","53,440,000","1,608,000",15.4,5.7,"3,965,234","3,991,634","4,019,271","4,053,824","35,840",71680000,2
OR,"95,410","190,794","143,102","10,381","20,762,000","15,859","31,718,000","16,493","32,986,000","16,177",32354000,"3,307","6,614,000","17,826","35,652,000","26,966","53,932,000","54,365","108,730,000","1,740,000",12.8,5.8,"4,245,044","4,256,465","4,239,379","4,233,358","44,293",88586000,17
PA,"238,237","552,138","395,188","48,210","96,420,000","42,562","85,124,000","45,876","91,752,000","59,698",119396000,"11,738","23,476,000","55,664","111,328,000","52,744","105,488,000","135,961","271,922,000","5,244,000",10.8,3.9,"12,995,477","13,013,614","12,972,091","12,961,683","49,666",99332000,17
RI,"19,319","39,310","29,315","3,433","6,866,000","3,267","6,534,000","3,722","7,444,000","4,631",9262000,854,"1,708,000","3,891","7,782,000","6,628","13,256,000","11,540","23,080,000","444,000",9.7,4.3,"1,096,444","1,097,092","1,093,842","1,095,962","5,151",10302000,1
SC,"84,580","169,352","126,966","18,535","37,070,000","16,672","33,344,000","20,798","41,596,000","28,122",56244000,"5,428","10,856,000","33,590","67,180,000","18,939","37,878,000","56,577","113,154,000","2,236,000",14.4,7,"5,132,151","5,193,848","5,282,955","5,373,555","25,838",51676000,2
SD,"17,036","32,575","24,806","1,994","3,988,000","3,443","6,886,000","3,810","7,620,000","4,091",8182000,763,"1,526,000","5,173","10,346,000","2,528","5,056,000","7,949","15,898,000","375,000",9,3.8,"887,852","896,299","909,869","919,318","6,344",12688000,1
TN,"145,622","336,383","241,003","23,278","46,556,000","22,385","44,770,000","29,018","58,036,000","36,830",73660000,"7,460","14,920,000","41,174","82,348,000","24,974","49,948,000","75,938","151,876,000","2,975,000",11.7,4.7,"6,926,091","6,963,709","7,048,976","7,126,489","63,199",126398000,5
TX,"585,544","1,364,703","975,124","85,328","170,656,000","98,410","196,820,000","95,451","190,902,000","122,376",244752000,"21,916","43,832,000","152,944","305,888,000","85,941","171,882,000","301,281","602,562,000","11,306,000",16.9,6.4,"29,234,361","29,561,286","30,029,848","30,503,301","89,759",179518000,23
UT,"51,749","110,134","80,942","6,353","12,706,000","10,287","20,574,000","12,628","25,256,000","12,147",24294000,"2,332","4,664,000","8,258","16,516,000","7,440","14,880,000","27,358","54,716,000","1,155,000",11.8,4.6,"3,283,982","3,339,284","3,381,236","3,417,734","21,577",43154000,1
VA,"164,668","323,752","244,210","28,221","56,442,000","30,950","61,900,000","37,836","75,672,000","47,871",95742000,"9,792","19,584,000","49,288","98,576,000","36,377","72,754,000","113,464","226,928,000","3,442,000",10,4.6,"8,637,193","8,657,348","8,679,099","8,715,698","39,483",78966000,7
VT,"16,307","43,537","29,922","1,688","3,376,000","2,279","4,558,000","2,430","4,860,000","2,790",5580000,563,"1,126,000","2,536","5,072,000","3,921","7,842,000","6,108","12,216,000","291,000",9.2,3.4,"642,936","647,093","647,110","647,464","4,173",8346000,1
WA,"134,070","267,532","200,801","19,632","39,264,000","27,412","54,824,000","29,115","58,230,000","29,949",59898000,"6,191","12,382,000","29,491","58,982,000","46,849","93,698,000","92,150","184,300,000","3,151,000",9.5,3.7,"7,724,566","7,741,433","7,784,477","7,812,880","38,313",76626000,10
WI,"100,395","208,597","154,496","13,909","27,818,000","19,613","39,226,000","22,478","44,956,000","23,771",47542000,"5,332","10,664,000","25,305","50,610,000","21,819","43,638,000","61,511","123,022,000","2,501,000",10.7,3.9,"5,896,700","5,879,978","5,890,543","5,910,955","18,225",36450000,3
WV,"24,624","59,164","41,894","5,059","10,118,000","6,191","12,382,000","8,194","16,388,000","10,043",20086000,"2,043","4,086,000","7,309","14,618,000","5,614","11,228,000","14,389","28,778,000","741,000",13.7,4.1,"1,791,562","1,785,249","1,774,035","1,770,071","7,989",15978000,2
WY,"12,330","22,836","17,583","1,657","3,314,000","2,841","5,682,000","2,861","5,722,000","3,034",6068000,571,"1,142,000","3,524","7,048,000","2,611","5,222,000","6,378","12,756,000","234,000",13.1,5.2,"577,664","579,548","581,629","584,057",,0,
