year,sector,sub_sector,sub_sector_category,food_type,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_not_fit_for_human_consumption,tons_inedible_parts,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,surplus_upstream_100_year_mtco2e_footprint,surplus_downstream_100_year_mtco2e_footprint,surplus_total_100_year_mtco2e_footprint,surplus_upstream_100_year_mtch4_footprint,surplus_downstream_100_year_mtch4_footprint,surplus_total_100_year_mtch4_footprint,gallons_water_footprint,meals_wasted
2022,Foodservice,Business & Industry,Business & Industry,Frozen,469.1528504,22504.01008,1391713.838,456.6814933,458.1250234,0,0,11.027827,0,1.443530036,0.070055649,54.45482078,0,48.22066024,0,352.6401233,1.295833406,0,1851.136817,215.2820122,2066.418829,24.65320159,10.53055164,35.18375323,158024083.6,763541.7056
2022,Foodservice,Business & Industry,Business & Industry,Prepared Foods,265718.0742,0,1983177907,263929.9093,264091.4537,0,9343.965583,1626.620497,0,161.5444149,5.613049228,25738.53942,0,29445.6415,0,208607.2177,132.8976968,0,1193105.568,113071.8389,1306177.407,10391.90394,5427.745915,15819.64986,1.25815E+11,440152422.9
2022,Foodservice,Business & Industry,Business & Industry,Produce,6457.2322,309736.1945,22887756.14,6285.581429,6305.4496,5805.319028,5772.604764,151.7826004,0,19.8681701,0.964217935,749.4943746,0,663.6898822,0,4853.597622,17.83533275,0,14178.94824,1229.157105,15408.10535,32.67436541,54.09677291,86.77113832,289006449.8,10509082.67
2022,Foodservice,Business & Industry,Business & Industry,Ready-To-Drink Beverages,4219.390254,202392.8891,3954217.458,4107.227401,4120.209986,2906.373323,2026.308446,99.18026874,0,12.9825846,0.630055051,489.7468702,0,433.6790957,0,3171.517126,11.65425477,0,20814.76962,2383.86882,23198.63844,111.2625429,116.6480884,227.9106314,112655178.1,6867016.643
2022,Foodservice,Caterers,Caterers,Breads & Bakery,929.8992507,58116.02209,4024837.463,899.7267211,903.6051742,256.0150864,134.7454001,26.29407647,0,3.878453124,0.11619341,147.0363429,0,100.265032,0,648.794394,3.514758748,0,1670.516066,655.4438188,2325.959885,4.782633274,33.01710605,37.79973932,17767055.15,1506008.624
2022,Foodservice,Caterers,Caterers,Dairy & Eggs,1389.378191,86832.13108,5354249.127,1344.296904,1350.091767,172.1004019,29.97963652,39.28642417,0,5.79486238,0.173606538,219.6894857,0,149.8076794,0,969.3746723,5.251460465,0,5912.23977,383.632773,6295.872543,77.22124399,18.36200253,95.58324652,392887575,2250152.945
2022,Foodservice,Caterers,Caterers,Dry Goods,3055.254719,190944.611,10390592.6,2956.120578,2968.863531,1477.966126,68.12543032,86.39118825,0,12.74295275,0.381762287,483.0990887,0,329.4283892,0,2131.663331,11.54800721,0,8245.71815,1421.793338,9667.511488,26.81659131,71.00660903,97.82320034,373860732.1,4948105.885
2022,Foodservice,Caterers,Caterers,Fresh Meat & Seafood,2375.890285,148486.2927,19488109.1,2298.799547,2308.708985,867.2673124,732.1470213,67.18130034,0,9.909438138,0.296873875,375.6774924,0,256.1769088,0,1657.668072,8.980199908,0,35238.75563,1132.670101,36371.42573,423.5259002,56.28572768,479.8116279,2762782560,3847848.308
2022,Foodservice,Caterers,Caterers,Frozen,140.3798721,8773.337264,416428.4848,135.824953,136.4104538,0,0,3.969418288,0,0.585500798,0.017540842,22.19696703,0,15.13625521,0,97.94359333,0.530596603,0,551.9207303,59.5420028,611.4627331,7.350409168,2.961032108,10.31144128,47169827.77,227350.7564
2022,Foodservice,Caterers,Caterers,Prepared Foods,267886.5668,0,3118917438,258496.8783,260590.2192,0,9420.220538,7296.347564,0,2093.340921,2.250714097,51415.34244,0,26294.11935,0,180175.0595,610.1062983,0,1184460.459,95741.34591,1280201.805,10313.76777,4797.44595,15111.21372,1.25498E+11,434317032
2022,Foodservice,Caterers,Caterers,Produce,1932.132416,120752.7053,6848472.257,1869.440332,1877.498931,1154.869884,1173.37674,54.6334858,0,8.058598822,0.241425137,305.5101768,0,208.3293631,0,1348.056447,7.302919438,0,4228.302142,344.8509126,4573.153054,9.742641337,15.21989544,24.96253678,86267764.7,3129164.884
2022,Foodservice,Caterers,Caterers,Ready-To-Drink Beverages,1262.525558,78904.20728,1183180.579,1221.560271,1226.826053,0,0,35.69950567,0,5.265781419,0.157755961,199.6314555,0,136.1299791,0,880.8690875,4.771993038,0,6206.201237,659.4249763,6865.626213,33.17369278,32.80025188,65.97394467,33627313.19,2044710.088
2022,Foodservice,Colleges & Universities,Colleges/Universities,Breads & Bakery,3319.122334,184028.1818,14365994.92,3223.829229,3235.359108,1730.681583,524.5247748,83.76322627,0,11.52987861,0.466276377,435.8886533,0,325.2524582,0,2451.828749,10.39309239,0,5976.23652,2486.500765,8462.737285,17.10977117,123.749842,140.8596132,63514345.36,5392265.179
2022,Foodservice,Colleges & Universities,Colleges/Universities,Dairy & Eggs,4959.156791,274959.6175,19111111.06,4816.777752,4834.004738,2618.909274,511.8347945,125.1520524,0,17.22698655,0.696671417,651.2686058,0,485.9651964,0,3663.318783,15.52849504,0,21150.66424,1444.513771,22595.17801,276.2573239,68.80068519,345.0580091,1404509465,8056674.564
2022,Foodservice,Colleges & Universities,Colleges/Universities,Dry Goods,10905.22889,604638.589,37087510.21,10592.13615,10630.01844,4785.480053,1257.779867,275.2104512,0,37.88229316,1.531986501,1432.145325,0,1068.641691,0,8055.669848,34.14729557,0,29496.51896,5386.792703,34883.31166,95.93243722,266.1217551,362.0541923,1336491583,17716697.4
2022,Foodservice,Colleges & Universities,Colleges/Universities,Fresh Meat & Seafood,8480.349353,470191.5493,69559598.11,8236.875706,8266.334517,5754.089776,3962.360417,214.0148359,0,29.45881132,1.191334989,1113.694431,0,831.0192262,0,6264.416388,26.55432534,0,126062.4229,4287.613853,130350.0368,1515.154104,210.9434983,1726.097603,9876500309,13777224.19
2022,Foodservice,Colleges & Universities,Colleges/Universities,Frozen,501.06285,27781.34578,1486372.941,486.6771691,488.4177478,0,0,12.64510212,0,1.74057876,0.070390226,65.80282042,0,49.100909,0,370.1340827,1.568966723,0,1974.484946,225.4439597,2199.928905,26.29593608,11.09724328,37.39317936,168624496.6,814029.5797
2022,Foodservice,Colleges & Universities,Colleges/Universities,Prepared Foods,222082.4596,0,1803345449,218177.1137,218841.1789,0,7809.520918,3241.280683,0,664.0651772,7.385546086,28664.30568,0,22353.05926,0,166850.038,302.3252387,0,991061.238,89931.29007,1080992.528,8631.16153,4377.711985,13008.87351,1.04707E+11,364735298.2
