Name,Naics,Address,City,County,State,zip,excess_low_lbs,excess_high_lbs,UniqueID,prepared
Gambino's Pizza,Limited-Service Restaurants,317 W 7th St,Washington,Washington,KS,66968,8667,44096,RFS371278,0
Gambino's Pizza,Limited-Service Restaurants,8725 Bourgade St,Lenexa,Johnson,KS,66219,18480,18480,RFS439629,0
Garcia LLC,Full-Service Restaurants,115 W Murdock St,Andover,Butler,KS,67002,5190,5190,RFS49369,0
Garden Fresh Restaura,Full-Service Restaurants,1938 N Woodlawn St,Wichita,Sedgwick,KS,67208,2130,45000,RFS106381,0
Garozzo's Inc,Full-Service Restaurants,13505 S Mur Len Rd # 101,Olathe,Johnson,KS,66062,42727,42727,RFS69023,0
Gaslight Grill,Limited-Service Restaurants,5020 W 137th St,Leawood,Johnson,KS,66224,31666,120000,RFS401591,0
Gates & Sons Barbecue of Kansas Inc.,Full-Service Restaurants,2001 W 103rd Stateline,Leawood,Johnson,KS,66206,173880,213696,RFS110431,0
Gates On State Line,Full-Service Restaurants,2001 W 103rd Ter,Leawood,Johnson,KS,66206,27866,50880,RFS110432,0
Gb Kansas LLC,Full-Service Restaurants,11652 Ash St Lot 10,Leawood,Johnson,KS,66211,16277,169600,RFS50761,0
Geaux Catering,Caterers,14138 W 141st Pl,Olathe,Johnson,KS,66062,3579,23744,RFS4490,0
Gena Hunter,Limited-Service Restaurants,105 E 14th St,Larned,Pawnee,KS,67550,4545,18000,RFS290593,0
Genesh Inc.,Limited-Service Restaurants,111 E 47th St S,Wichita,Sedgwick,KS,67216,62350,75000,RFS295568,0
Genesh Inc.,Limited-Service Restaurants,13680 Metcalf Ave,Overland Park,Johnson,KS,66223,67338,81000,RFS312187,0
Genesh Inc.,Limited-Service Restaurants,1506 N Nelson Dr,Derby,Sedgwick,KS,67037,67338,81000,RFS319181,0
Genesh Inc.,Limited-Service Restaurants,200 S Rock Rd,Wichita,Sedgwick,KS,67207,67338,81000,RFS337748,0
Genesh Inc.,Limited-Service Restaurants,201 E 4th Ave,Hutchinson,Reno,KS,67501,44892,54000,RFS338565,0
Genesh Inc.,Limited-Service Restaurants,2743 W Central Ave,El Dorado,Butler,KS,67042,67338,81000,RFS360948,0
