Year,Naics,State,prepared,excess_high_lbs,excess_low_lbs
2018,Limited-Service Restaurants,MN,174808,123854824,67336992
2018,Limited-Service Restaurants,MO,239073,125838772,73602367
2018,Limited-Service Restaurants,MS,120353,52086715,25190488
2018,Limited-Service Restaurants,MT,31134,18198863,8984717
2018,Limited-Service Restaurants,NC,414204,240036172,99422842
2018,Limited-Service Restaurants,ND,25578,17362927,7698267
2018,Limited-Service Restaurants,NE,80408,45508553,20081541
2018,Limited-Service Restaurants,NH,40964,16838526,9470438
2018,Limited-Service Restaurants,NJ,6847041,178120780,103127183
2018,Limited-Service Restaurants,NM,73091,37040193,17227169
2018,Limited-Service Restaurants,NV,130297,51044477,30389549
2018,Limited-Service Restaurants,NY,13763253,443734960,219238864
2018,Limited-Service Restaurants,OH,454997,238278559,133884713
2018,Limited-Service Restaurants,OK,172958,76915488,34090230
2018,Limited-Service Restaurants,OR,4103616,93847066,54930083
2018,Limited-Service Restaurants,PA,350621,246147491,121440108
2018,Limited-Service Restaurants,RI,974500,19343948,11134534
2018,Limited-Service Restaurants,SC,202830,91339143,45037153
2018,Limited-Service Restaurants,SD,32522,21025273,12699489
2018,Limited-Service Restaurants,TN,292946,163324404,74232365
2018,Limited-Service Restaurants,TX,1171353,623814993,332151523
2018,Limited-Service Restaurants,UT,113245,58875500,29096476
2018,Limited-Service Restaurants,VA,328077,145230389,82783748
2018,Limited-Service Restaurants,VT,357528,9242999,5438619
2018,Limited-Service Restaurants,WA,6636127,141331042,77433146
2018,Limited-Service Restaurants,WI,176876,110993606,55006410
2018,Limited-Service Restaurants,WV,67474,25949914,14071677
2018,Limited-Service Restaurants,WY,22866,7573466,4216005
2019,Caterers,AK,346,764348,298453
2019,Caterers,AL,2557,5080187,2268033
2019,Caterers,AR,1529,2369076,1060134
2019,Caterers,AZ,6091,11087986,4290133
2019,Caterers,CA,822381,88978698,46515199
2019,Caterers,CO,8323,11389335,5244687
2019,Caterers,CT,105705,10472682,5134245
2019,Caterers,DE,597,1756967,632715
2019,Caterers,FL,19649,66639819,28071934
2019,Caterers,GA,11034,25295019,8775003
2019,Caterers,HI,2056,4599795,2778078
2019,Caterers,IA,1707,5565514,1740769
2019,Caterers,ID,1015,1465648,550027
2019,Caterers,IL,30707,28176421,14767870
2019,Caterers,IN,8666,9785798,3999187
2019,Caterers,KS,2189,3440670,1672872
2019,Caterers,KY,4320,19739785,4556551
2019,Caterers,LA,6514,18655108,7460052
2019,Caterers,MA,246378,14555882,7964528
2019,Caterers,MD,166160,15485158,7090650
2019,Caterers,ME,1625,1213492,585631
2019,Caterers,MI,19609,15610805,6566685
2019,Caterers,MN,8576,10303788,4284078
2019,Caterers,MO,10613,10763513,4431143
2019,Caterers,MS,945,4026153,1918372
2019,Caterers,MT,727,1499369,629829
2019,Caterers,NC,9308,17922135,7809060
2019,Caterers,ND,394,1541410,506087
2019,Caterers,NE,2186,2955462,1354155
2019,Caterers,NH,1678,1988879,851516
2019,Caterers,NJ,279550,27371777,13621748
2019,Caterers,NM,1081,2590668,991919
2019,Caterers,NV,2218,5743028,3895677
2019,Caterers,NY,646539,47169378,24306582
2019,Caterers,OH,17662,18088788,8714725
2019,Caterers,OK,3561,4937381,1552484
2019,Caterers,OR,62984,7264647,3465731
2019,Caterers,PA,19226,27309995,11558788
2019,Caterers,RI,29679,2288991,1074809
2019,Caterers,SC,6373,6323908,2793712
