Year,Naics,State,bread,dairy,dry,meat,prepared,produce,excess_high_lbs,excess_low_lbs,excess_fac_cnt
2018,Full-Service Restaurants,NH,2846,4651,11529,6797,38173,5924,36300358,17670294,899
2018,Full-Service Restaurants,NJ,20651,32218,76863,63466,3427139,48953,270200753,137190094,7794
2018,Full-Service Restaurants,NM,4257,7550,15146,12208,58889,9009,64272620,34369453,1449
2018,Full-Service Restaurants,NV,6663,11304,26531,21378,100208,16225,88667002,47630073,2060
2018,Full-Service Restaurants,NY,30357,49872,114421,93116,5121893,73846,655536002,349778872,21625
2018,Full-Service Restaurants,OH,28877,50902,97099,77156,380057,58410,316165971,160219719,6108
2018,Full-Service Restaurants,OK,10599,14616,33866,30280,133639,22555,97897029,47456845,2436
2018,Full-Service Restaurants,OR,6437,13100,21806,18268,1026107,13520,173535138,93281339,4570
2018,Full-Service Restaurants,PA,23792,38059,78822,67024,314225,51376,369538808,175983154,10298
2018,Full-Service Restaurants,RI,2186,3502,7993,6248,351502,4922,34542472,17218048,941
2018,Full-Service Restaurants,SC,11745,22370,37482,32622,156243,24655,124779354,62916254,3011
2018,Full-Service Restaurants,SD,1472,2281,5154,4389,20246,3531,16340541,7779017,434
2018,Full-Service Restaurants,TN,17772,31610,61956,50174,242983,39699,318089549,113920222,4233
2018,Full-Service Restaurants,TX,70784,110973,299060,197284,1009875,167995,1153776264,513530393,23064
2018,Full-Service Restaurants,UT,4136,8097,15523,13146,62083,10126,86530475,38043804,1978
2018,Full-Service Restaurants,VA,21775,35343,88289,62920,312725,51962,268595552,134843876,6916
2018,Full-Service Restaurants,VT,631,974,2131,1659,96856,1306,17667590,9395988,522
2018,Full-Service Restaurants,WA,11098,19523,40657,36713,1915307,27883,221033286,116212675,5916
2018,Full-Service Restaurants,WI,7530,11399,25662,24140,105732,18363,117398429,56128875,2672
2018,Full-Service Restaurants,WV,3726,7127,12609,9793,49762,7541,52871567,17889779,908
2018,Full-Service Restaurants,WY,699,1508,2226,1899,9434,1427,15183837,7406158,360
2018,Limited-Service Restaurants,AK,1638,4097,3157,2374,16866,1787,11949592,6517993,365
2018,Limited-Service Restaurants,AL,22524,51457,37165,31572,209903,21649,68275350,36112020,1738
2018,Limited-Service Restaurants,AR,13175,30098,23359,18897,124788,12987,64188845,27523714,1228
2018,Limited-Service Restaurants,AZ,26116,67128,49793,38239,269785,27203,129204389,77116682,3547
2018,Limited-Service Restaurants,CA,183474,491421,368681,270833,39235141,195463,841419089,412710218,18392
2018,Limited-Service Restaurants,CO,21616,53230,41712,30945,218814,22695,115568791,69189279,3147
2018,Limited-Service Restaurants,CT,14632,46060,25269,17753,3171516,14347,71518381,38602401,2268
2018,Limited-Service Restaurants,DE,2761,7738,5537,3787,30008,2869,17085134,9295208,420
2018,Limited-Service Restaurants,FL,73916,189209,135754,102721,747327,74223,659724522,346510369,14737
2018,Limited-Service Restaurants,GA,44841,107406,77114,61364,432874,43681,220508063,113119206,5155
2018,Limited-Service Restaurants,HI,3742,11786,7245,5190,42143,3801,27317273,12762887,580
