State	Zipcode	facility_count	Excess_Food_High_Tons	Excess_Food_Low_Tons	foodbanks	FoodBank_recd_TonYear
TX	75401	7	105.329223	47.8921575		
TX	75402	30	478.5194985	270.2770465		
TX	75407	16	236.8026975	152.87519		
TX	75409	20	233.074951	108.57068		
TX	75410	7	94.123655	31.1937285		
TX	75414	3	45.792	21.314667		
TX	75416	1	11.872	1.4395095		
TX	75417	3	42.4	11.5172805		
TX	75418	17	275.942493	130.857024		
TX	75420	1	18	10.2910995		
TX	75422	1	0.5708835	0.5708835		
TX	75423	1	10.176	4.938417		
TX	75426	4	31.1295995	11.3072975		
TX	75428	15	203.9537175	98.270878		
TX	75431	2	29.872	11.730609		
TX	75432	5	37.636	9.8681925		
TX	75433	3	64.448	32.5217475		
TX	75436	2	25.44	10.3640625		
TX	75440	9	125.603283	60.918884		
TX	75442	9	106.899833	53.103618		
TX	75451	1	15.264	6.275247		
TX	75452	3	110.077881	13.355001		
TX	75453	3	46.372	21.5002425		
TX	75454	13	190.464	87.204377		
TX	75455	35	446.912879	235.3109305		
TX	75457	9	175.233	100.6389795		
TX	75459	3	33.6727105	16.2817545		
TX	75460	35	555.630308	262.052317		
TX	75462	10	266.54296	159.4719485		
TX	75469	1	13.568	1.5834555		
TX	75471	2	25.176	10.1560635		
TX	75472	1	20.352	9.153507		
TX	75473	3	36.7915095	18.84069		
TX	75474	13	112.3217965	57.2959635		
TX	75476	2	32.156	11.0654445		
TX	75479	1	0.613305	0.613305		
TX	75480	2	3.184764	3.184764		
TX	75482	29	489.232703	288.5939285		
TX	75486	1	15.264	7.118661		
TX	75490	2	16.1238685	5.691378		
TX	75491	6	76.764	34.30878		
TX	75494	11	142.9994225	63.1602165		
TX	75495	11	80.025737	24.6145205		
TX	75497	4	63.988	23.311893		
TX	75501	37	483.035067	228.1371795		
TX	75503	61	2196.232137	1068.680115		
TX	75551	18	186.347327	86.304088		
TX	75554	1	10.176	1.838892		
TX	75555	1	2.457048	2.457048		
TX	75558	2	33.656	8.6727795		
TX	75559	8	113.3831465	60.011504		
TX	75561	4	37.312	9.30303		
TX	75563	3	34.176	7.172847		
TX	75566	1	15.264	5.2356645		
TX	75567	2	16.372	2.923635		
TX	75569	2	23.744	2.879019		
TX	75570	10	187.9126895	116.356393		
TX	75571	1	4.5	0.933504		
